"조치선, 정영진 외 5명 저",엑셈,2019.09.25,25000,22500,0
안지선 글   송진욱 그림,봄볕,2018.05.16,13000,11700,8190
"김진호(대학교수), 최용주(대학부총장) 저",북카라반,2018.07.25,16000,14400,0
이범식 김은주 전소현 이상범 저,구민사,2020.04.20,21000,20370,0
Petr Skoda 저,Elsevier,2020.04.22,0,0,121410
Vikas Khare 저,Elsevier,2020.04.21,0,0,151770
편집부 저,IRSGlobal,2019.02.26,390000,351000,0
박형준 저,리드리드출판,2018.07.27,15800,14220,9954
"Stephens-davidowitz, Seth 저",DeyStreetBooks,2018.02.27,22220,13880,0
Dinesh Peter 저,Elsevier,2020.03.09,0,0,121410
버나드 마 저   Ann Lee 역,교학사,2016.03.20,14000,12600,0
"Pedersen, John S. (EDT), Wilkinson, Adrian (EDT) 저",EdwardElgarPub,2019.11.29,189540,188320,0
조명화(여행작가) 저,테마여행신문TTNThemeTravelNewsKorea,2018.03.03,0,0,8910
"Sarangi, Saswat, Sharma, Pankaj 저",RoutledgeIndia,2019.10.05,69650,57120,0
"Sarangi, Saswat, Sharma, Pankaj 저",RoutledgeIndia,2019.10.03,196560,177940,0
Soraya Sedkaoui 저,Wiley-ISTE,2020.01.09,0,0,0
Zhihua Zhang 저,Elsevier,2019.12.03,0,0,151770
"이랑(가수), 황국영 저",소시민워크,2016.02.01,0,0,0
"Zgurovsky, Michael Z., Zaychenko, Yuriy P. 저",Springer-NatureNewYorkInc,2019.07.05,214180,190630,0
Yoshiki Yamagata 저,Elsevier,2019.11.03,0,0,151770
